Gene stable ID,Transcript stable ID
PBANKA_146320,CDS52534
PBANKA_146330,CDS52536
PBANKA_146340,CDS52538
PBANKA_146350,CDS52540
PBANKA_146360,CDS52542
PBANKA_146370,CDS52544
PBANKA_146380,CDS52546
PBANKA_146390,CDS52547
PBANKA_146400,CDS52549
PBANKA_146410,CDS52551
PBANKA_146420,CDS52553
PBANKA_146430,CDS52555
PBANKA_146440,CDS52557
PBANKA_146450,CDS52559
PBANKA_146460,CDS52561
PBANKA_146470,CDS52563
PBANKA_146480,CDS52565
PBANKA_146490,CDS52567
PBANKA_146500,CDS52569
PBANKA_146510,CDS52571
PBANKA_146520,CDS52573
PBANKA_146540,CDS52577
PBANKA_146550,CDS52578
PBANKA_146560,CDS52580
PBANKA_146570,CDS52582
PBANKA_146580,CDS52584
PBANKA_146590,CDS52586
PBANKA_146600,CDS52588
PBANKA_146610,CDS52590
PBANKA_090005,CDS46475
PBANKA_090010,CDS46476
PBANKA_090020,CDS46477
PBANKA_090030,CDS46478
PBANKA_090040,CDS46479
PBANKA_090050,CDS46480
PBANKA_090060,CDS46481
PBANKA_090070,CDS46482
PBANKA_090080,CDS46483
PBANKA_090090,CDS46484
PBANKA_090100,CDS46485
PBANKA_090110,CDS46486
PBANKA_090120,CDS46487
PBANKA_090130.2,CDS46488
PBANKA_090130.1,CDS46489
PBANKA_090140,CDS46490
PBANKA_090150,CDS46491
PBANKA_090160,CDS46492
PBANKA_090170,CDS46493
PBANKA_090180,CDS46494
PBANKA_090190,CDS46495
PBANKA_090200,CDS46496
PBANKA_090210,CDS46497
PBANKA_090220,CDS46498
PBANKA_090230,CDS46499
PBANKA_090240,CDS46500
PBANKA_090250,CDS46501
PBANKA_090260,CDS46502
PBANKA_090270,CDS46503
PBANKA_090280,CDS46504
PBANKA_090290,CDS46505
PBANKA_090300,CDS46506
PBANKA_090310,CDS46507
PBANKA_090315,CDS46508
PBANKA_090320,CDS46509
PBANKA_090330,CDS46510
PBANKA_090340,CDS46511
PBANKA_090350,CDS46512
PBANKA_090360,CDS46513
PBANKA_090370,CDS46514
PBANKA_090380,CDS46515
PBANKA_090390,CDS46516
PBANKA_090400,CDS46517
PBANKA_090410,CDS46518
PBANKA_090420,CDS46519
PBANKA_090430,CDS46520
PBANKA_090440,CDS46521
PBANKA_090450,CDS46522
PBANKA_090460,CDS46523
PBANKA_090470,CDS46524
PBANKA_090480,CDS46525
PBANKA_090490,CDS46526
